filted_data_dict 3893 3893
day, prev_pody, prev_HL, prev_body_pct, cur_position_above, cur_position_below, today_profit
2008-05-25 , -0.20599999999998886 , 0.20599999999998886 , -100 , 317 , 86 , 512.0000000000005
2008-05-26 , 0.5120000000000005 , 0.8329999999999984 , 61 , 137 , 36 , 1039.0000000000157
2008-05-27 , 1.0390000000000157 , 1.445999999999998 , 71 , 111 , 48 , 1372.000000000014
2008-05-28 , 1.372000000000014 , 2.3149999999999977 , 59 , 64 , 19 , 1104.0000000000134
2008-05-29 , 1.1040000000000134 , 1.953000000000003 , 56 , 38 , 36 , 617.999999999995
2008-06-02 , -2.0749999999999886 , 3.530000000000001 , -58 , 46 , 38 , 936.000000000007
2008-06-03 , 0.936000000000007 , 3.0250000000000057 , 30 , 8 , 56 , -536.0000000000014
2008-06-04 , -0.5360000000000014 , 1.961999999999989 , -27 , 88 , 11 , 1682.9999999999927
2008-06-05 , 1.6829999999999927 , 1.97199999999998 , 85 , 27 , 37 , -706.9999999999936
2008-06-08 , -0.679000000000002 , 0.679000000000002 , -100 , 573 , 45 , 3844.999999999999
2008-06-09 , 3.844999999999999 , 4.203999999999979 , 91 , 18 , 27 , 58.9999999999975
2008-06-10 , 0.0589999999999975 , 1.943000000000012 , 3 , 31 , 27 , 21.000000000015007
2008-06-11 , 0.021000000000015007 , 1.1539999999999964 , 1 , 22 , 33 , 106.00000000002296
2008-06-12 , 0.10600000000002296 , 0.6459999999999866 , 16 , 109 , 57 , 624.0000000000236
2008-06-16 , 1.8009999999999877 , 2.3640000000000043 , 76 , 1 , 75 , -1262.0000000000005
2008-06-17 , -1.2620000000000005 , 1.8199999999999932 , -69 , 16 , 40 , 246.99999999998568
2008-06-18 , 0.24699999999998568 , 1.0400000000000205 , 23 , 175 , 51 , 1594.9999999999989
2008-06-19 , 1.5949999999999989 , 2.3689999999999998 , 67 , 4 , 52 , -913.0000000000109
2008-06-20 , -0.9130000000000109 , 1.3530000000000086 , -67 , 5 , 0 , 74.99999999998863
2008-06-21 , 0.07499999999998863 , 0.08299999999999841 , 90 , 0 , 98 , -81.99999999999363
2008-06-22 , -0.08199999999999363 , 0.08199999999999363 , -100 , 810 , 481 , 442.0000000000073
2008-06-23 , 0.4420000000000073 , 1.0600000000000023 , 41 , 79 , 25 , 504.99999999999545
2008-06-24 , 0.5049999999999955 , 1.117999999999995 , 45 , 60 , 28 , 429.00000000000205
2008-06-25 , 0.42900000000000205 , 0.9869999999999948 , 43 , 88 , 98 , -491.9999999999902
2008-06-26 , -0.4919999999999902 , 1.8460000000000036 , -26 , 26 , 93 , -725.9999999999991
2008-06-27 , -0.7259999999999991 , 2.2079999999999984 , -32 , 0 , 0 , 0.0
2008-06-30 , -0.21999999999999886 , 2.843999999999994 , -7 , 8 , 54 , 92.99999999998931
2008-07-01 , 0.09299999999998931 , 1.792999999999978 , 5 , 18 , 43 , -629.0000000000191
2008-07-02 , -0.6290000000000191 , 1.0949999999999989 , -57 , 79 , 25 , 637.9999999999768
2008-07-03 , 0.6379999999999768 , 1.1529999999999916 , 55 , 27 , 31 , 16.999999999995907
2008-07-06 , -0.06800000000001205 , 0.06800000000001205 , -100 , 1129 , 710 , 164.0000000000157
2008-07-07 , 0.1640000000000157 , 1.2510000000000048 , 13 , -1 , 117 , -74.99999999998863
2008-07-08 , -0.07499999999998863 , 1.4539999999999793 , -5 , 37 , 45 , 4.9999999999954525
2008-07-09 , 0.0049999999999954525 , 1.1989999999999839 , 0 , 29 , 37 , 43.99999999998272
2008-07-10 , 0.04399999999998272 , 0.8020000000000209 , 5 , 36 , 188 , -433.9999999999975
2008-07-11 , -0.4339999999999975 , 1.8029999999999973 , -24 , 9 , -9 , 174.0000000000066
2008-07-14 , 0.5199999999999818 , 1.0309999999999775 , 50 , 14 , 254 , -1709.0000000000032
2008-07-15 , -1.7090000000000032 , 2.771000000000015 , -61 , 6 , 73 , 78.00000000000296
2008-07-16 , 0.07800000000000296 , 2.2120000000000175 , 3 , 156 , 20 , 2829.999999999984
2008-07-17 , 2.829999999999984 , 3.923000000000002 , 72 , 22 , 32 , 868.9999999999998
2008-07-18 , 0.8689999999999998 , 2.1450000000000102 , 40 , -1 , 1 , -21.99999999999136
2008-07-19 , -0.02199999999999136 , 0.00899999999998613 , -244 , 11 , -11 , 1.0000000000047748
2008-07-21 , -0.37000000000000455 , 1.5769999999999982 , -23 , 32 , 21 , 512.0000000000005
2008-07-22 , 0.5120000000000005 , 0.8439999999999941 , 60 , 238 , 31 , 1967.000000000013
2008-07-23 , 1.967000000000013 , 2.275999999999982 , 86 , 2 , 126 , -2481.999999999999
2008-07-24 , -2.4819999999999993 , 2.9499999999999886 , -84 , 55 , 52 , 1572.0000000000027
2008-07-25 , 1.5720000000000027 , 3.187999999999988 , 49 , 0 , 0 , 0.0
2008-07-27 , -0.1490000000000009 , 0.1490000000000009 , -100 , 118 , 638 , -415.9999999999968
